description,origin,status,car_mileage,car_color,car_seats,gear,car_year,car_price,style,model,fuel,brand_name,region_name,url_image,website,month,year
"autu7 địa chỉ ngõ 233 phạm văn đồng gần cổng bộ công an. đang cần mua tất cả các loại xe oto đã qua sử dụng. giá từ 50 _ 1,5 tỷ mua nhanh  thủ tục nhanh chóng giải ngân ngay tại           nhà",,Đã sử dụng,0.0,,,,,6000000000.0,,,,,Hà Nội,https://cdn.chotot.com/ySOW6KoXTtVkB_J56W93NwKqjSJhyIOTNuVdgLoLPkY/preset:listing/plain/fc58c80d49c5c466de99cdaec59f5400-2744515195986384529.jpg,chotot,11,2021
Có khách Tìm 1 xe Camry lướt mẫu mới 2021 màu đen. Ace nào có liên hệ em nhé,,Đã sử dụng,0.0,,,,,2000000000.0,,,,,Tp Hồ Chí Minh,https://cdn.chotot.com/lrAaZVhK4eIlH7mAJpvUd98VhSUE07j-QCi2jY81bxM/preset:listing/plain/c0c6f0ce58d68d2fdfd13c99ba09b053-2746371558698219118.jpg,chotot,11,2021
"Cần mua xe ô tô đã qua sử dụng tất cả dòng xe và đời xe
Cam kết thu lại đúng giá, không ép giá.
ACE nào có nhu cầu mua bán, trao đổi xe xin liên hệ
Có hoa hồng cho người giới thiệu.",,Đã sử dụng,0.0,,,,,1000000000.0,,,,,Bình Dương,https://cdn.chotot.com/l_JaRhfetMHkrjpRIg0kyX6ozLe0tIHUhVeA2RxWVqg/preset:listing/plain/da272dd1fe6a2568b439f5847d4708c3-2742012502378728198.jpg,chotot,11,2021
"Cần mua gấp ô tô đã qua sử dụng các dòng Vios, wigo, i10, morning, innova,...và tất cả các dòng xe khác
Cam kết thu đúng giá, không ép giá
ACE có nhu cầu mua bán, trao đổi xe xin vui lòng liên hệ trực tiếp
Có hoa hồng cao cho người giới thiệu",,Đã sử dụng,0.0,,,,,1000000000.0,,,,,Tp Hồ Chí Minh,https://cdn.chotot.com/AYjlVVaZBma7Pz-MhuTZJ3KYeV1Ss97jdrnLZp5gyPw/preset:listing/plain/c0f78c6fae566d25bffd718858bc4ee3-2742014418588715782.jpg,chotot,11,2021
"Do nhu cầu hết dịch nên công ty cần mua tất cả các xe oto củ đã qua sử dụng...
ưu tiên xe các dòng bán tải...và các loại xe lướt...
giá cả cạnh tranh thương trường...
tiền giải ngân nhanh lẹ...
giấy tờ hợp lý chính chủ là full tiền...
ace có nhu cầu alo...",,Đã sử dụng,0.0,,,,,500000000.0,,,,,Cần Thơ,https://cdn.chotot.com/xLDGQRxvm7YyucdkX6WbCWwZzaLwv0aKqqJojRqTkA4/preset:listing/plain/b0b402255280d2c7d25edbd4a82188f5-2741919660128783463.jpg,chotot,11,2021
"Tài chính 250 triệu. Đang có nhu cầu kiếm 1 chiếc xe các dòng như Kia moring, i10, vios, VF Fadil. Nếu xe tốt có thể lên xuống tùy chất lượng xe. Ai có nhu cầu thanh lý thì liên hệ fb, zl Sđt phía dưới nhé.",,Đã sử dụng,0.0,,,,,250000000.0,,,,,Đắk Lắk,https://cdn.chotot.com/pDDxOV4tfNXJ6wl3pVwjfxoVK7rwwVprjXe27sNhQc4/preset:listing/plain/da47ff59603fc5d9533e0d97aee6f671-2746211347337969216.jpg,chotot,11,2021
"Em cần tìm mua Fadil bản base Biển Hà Nội đã qua sử dụng.
ưu tiên xe lướt 1-2 vạn
Giá cả trao đổi thương lượng
cảm ơn mọi người",,Đã sử dụng,0.0,,,,,300000000.0,,,,,Hà Nội,,chotot,11,2021
cần mua xe bán tải cũ đã sử dụng.tài chính 300 quay đầu.,,Đã sử dụng,0.0,,,,,234500000.0,,,,,Đắk Nông,https://cdn.chotot.com/6T8TwQB7e94y-hj5XhiJdEBjGw0V1O66378gb7LmvEs/preset:listing/plain/ac6e21b97ffc5ffb75a29556ec4b229e-2746209145376034635.jpg,chotot,11,2021
"cần mua 1 em su đời 205,206 ae nào có sang lại mình giá hợp lý ok hốt luôn",,Đã sử dụng,0.0,,,,,12300000.0,,,,,Gia Lai,https://cdn.chotot.com/YK-RKO8b1Y4zcuWgkp-CODVsUzc7Hf_z4Z_RMiOBR_8/preset:listing/plain/568bd248bae7576c56d7667e55613bf8-2746204180306316333.jpg,chotot,11,2021
"cần mua 1 em su đời 205,206 ae nào có sang lại mình giá hợp lý ok hốt luôn",,Đã sử dụng,0.0,,,,,12300000.0,,,,,Gia Lai,https://cdn.chotot.com/YK-RKO8b1Y4zcuWgkp-CODVsUzc7Hf_z4Z_RMiOBR_8/preset:listing/plain/568bd248bae7576c56d7667e55613bf8-2746204180306316333.jpg,chotot,11,2021
