,carbrand,brand_name
0,4.0,Chevrolet
1,2.0,Toyota
2,7.0,Mazda
3,5.0,Hyundai
4,10.0,Daewoo
5,3.0,Ford
6,18.0,Mitsubishi
7,16.0,Mercedes Benz
8,22.0,Suzuki
9,9.0,BMW
10,51.0,LandRover
11,1.0,Kia
12,80.0,Vinfast
13,20.0,Peugeot
14,6.0,Honda
15,19.0,Nissan
16,49.0,Lada
17,15.0,Lexus
18,39.0,Ferrari
19,33.0,Cadillac
20,8.0,Audi
21,76.0,Volvo
22,63.0,Porsche
23,23.0,Volkswagen
24,13.0,Isuzu
25,78.0,UAZ
26,48.0,Jaguar
27,36.0,Chrysler
28,60.0,MG
29,68.0,Samsung
30,24.0,Hãng khác
31,71.0,Subaru
32,70.0,Ssangyong
33,27.0,Asia
34,12.0,Fiat
35,52.0,Lifan
36,11.0,Daihatsu
37,42.0,Geely
38,54.0,Luxgen
39,61.0,Opel
40,30.0,Bentley
41,77.0,Honda
42,38.0,Dodge
43,14.0,Jeep
44,29.0,Baic
45,32.0,BYD
46,64.0,Proton
47,25.0,Acura
48,37.0,Citroen
49,72.0,SYM
50,43.0,GMC
51,55.0,Man
52,65.0,Renault
53,58.0,Mekong
54,41.0,Gaz
55,47.0,Infiniti
56,56.0,Maserati
57,17.0,Mini
58,44.0,Haima
59,35.0,Chery
60,69.0,Scion
61,53.0,Lincoln
62,66.0,Rolls Royce
63,26.0,Alfa Romeo
64,28.0,Aston Martin
65,31.0,Buick
