,carmodel,car_model
0,637.0,MDX
1,71.0,Innova
2,448.0,GLC
3,323.0,7 Series
4,101.0,Vios
5,60.0,Corolla Altis
6,243.0,CR V
7,992.0,Xpander
8,133.0,Focus
9,74.0,Land Cruiser
10,54.0,Camry
11,35.0,Sorento
12,211.0,i20
13,234.0,Veracruz
14,336.0,X5
15,32.0,Rondo
16,269.0,323
17,164.0,Cruze
18,444.0,E Class
19,21.0,Morning
20,1078.0,Rush
21,321.0,5 Series
22,240.0,City
23,439.0,C Class
24,1103.0,ZS
25,120.0,EcoSport
26,502.0,Triton
27,487.0,Jolie
28,149.0,Transit
29,67.0,Fortuner
30,145.0,Everest
31,125.0,Everest
32,107.0,Zace
33,4.0,Carens
34,241.0,Civic
35,1102.0,HS
36,187.0,Accent
37,461.0,V Class
38,622.0,Polo
39,504.0,Zinger
40,1097.0,Xpander Cross
41,495.0,Xpander
42,427.0,IS
43,161.0,Colorado
44,1085.0,Brio
45,1082.0,Fadil
46,631.0,Dòng khác
47,1095.0,Corolla Cross
48,59.0,Corolla
49,606.0,Swift
50,1080.0,HR-V
51,317.0,1 Series
52,1081.0,Solati
53,229.0,Tucson
54,1083.0,Lux
55,105.0,Yaris
56,454.0,R Class
57,223.0,Santa Fe
58,570.0,3008
59,550.0,Sentra
60,319.0,3 Series
61,356.0,Lacetti
62,972.0,XC90
63,611.0,Dòng khác
64,210.0,Grand i10
65,268.0,3
66,471.0,Attrage
67,1012.0,F PACE
68,82.0,Prado
69,68.0,Hiace
70,205.0,Grand Starex
71,131.0,Fiesta
72,599.0,Ertiga
73,312.0,Q7
74,272.0,6
75,399.0,D Cargo
76,1030.0,Celerio
77,280.0,CX 5
78,428.0,LS
79,361.0,Matiz
80,887.0,Dòng khác
81,400.0,Dmax
82,1079.0,Kona
83,189.0,Avante
84,267.0,2
85,738.0,QQ3
86,533.0,Navara
87,431.0,RX
88,90.0,Sienna
89,1093.0,GLB
90,488.0,L200
91,455.0,S Class
92,465.0,S Class
93,1091.0,Soluto
94,154.0,Aveo
95,196.0,Elantra
96,989.0,Avanza
97,720.0,Dòng khác
98,429.0,LX
99,186.0,Azera
100,657.0,Cayenne
101,600.0,Grand vitara
102,15.0,K3
103,64.0,Crown
104,1031.0,Ciaz
105,516.0,Cefiro
106,10.0,Forte
107,306.0,A7
108,179.0,Spark
109,1098.0,Seltos
110,380.0,Albea
111,1060.0,GLC Class
112,1101.0,Beijing X7
113,1107.0,Almera
114,441.0,CLA Class
115,1070.0,Pajero Sport
116,278.0,BT 50
117,122.0,Escape
118,66.0,Fj cruiser
119,660.0,Panamera
120,302.0,A3
121,23.0,Optima
122,6.0,Cerato
123,173.0,Matiz
124,447.0,GLA Class
125,274.0,929
126,41.0,City
127,62.0,City
128,235.0,Verna
129,649.0,Range Rover
130,360.0,Magnus
131,285.0,MPV
132,175.0,Orlando
133,337.0,X6
134,30.0,Rio
135,532.0,Murano
136,481.0,Grandis
137,99.0,Venza
138,496.0,Pajero
139,5.0,Carnival
140,1077.0,GLS Class
141,403.0,Hi lander
142,491.0,Lancer
143,650.0,Range Rover Evoque
144,883.0,5
145,33.0,Sedona
146,459.0,Sprinter
147,1088.0,CX 8
148,610.0,XL 7
149,27.0,Pride
150,1023.0,5008
151,184.0,Vivant
152,192.0,County
153,979.0,Dòng khác
154,620.0,Passat
155,990.0,CD5
156,224.0,Sonata
157,314.0,TT
158,271.0,5
159,987.0,Wigo
160,239.0,Accord
161,103.0,Wish
162,304.0,A5
163,322.0,6 Series
164,203.0,Getz
165,748.0,Neon
166,126.0,Explorer
167,140.0,Mondeo
168,692.0,Dòng khác
169,450.0,GLK Class
170,726.0,Escalade
171,300.0,A1
172,446.0,GL Class
173,273.0,626
174,374.0,Citivan
175,1067.0,Land Cruiser Prado
176,158.0,Captiva
177,521.0,Grand livina
178,138.0,Laser
179,76.0,Mark II
180,238.0,Dòng khác
181,555.0,Sunny
182,303.0,A4
183,691.0,Spider
184,364.0,Nubira
185,350.0,Gentra
186,562.0,X Terra
187,69.0,Highlander
188,1051.0,S5
189,425.0,GX
190,994.0,4 Series
191,212.0,i30
192,311.0,Q5
193,684.0,Bluebird
194,693.0,Dòng khác
195,556.0,Teana
196,505.0,Dòng khác
197,226.0,Terracan
198,452.0,MB
199,530.0,City
200,333.0,X1
201,328.0,M couper
202,70.0,City
203,417.0,CJ
204,248.0,FIT
205,577.0,405
206,1059.0,718
207,628.0,Touareg
208,529.0,Maxima
209,1025.0,Stavic
210,282.0,CX 9
211,686.0,Musso
212,170.0,Lacetti
213,110.0,Aerostar
214,357.0,Lanos
215,24.0,Picanto
216,917.0,SM7
217,108.0,Dòng khác
218,1055.0,Pickup
219,48.0,Avalon
